checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,CHEBI:17833,predicate:2,MONDO:0005369,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:63605,predicate:1,MONDO:0005071,CHEBI:3437,predicate:1,MONDO:0001358,-90.6142578125
model_10.pt,CHEBI:6809,predicate:0,HP:0001714,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:8028,predicate:0,MONDO:0001584,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:90ZX3Q3FR7,predicate:0,MONDO:0004781,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:47898,predicate:1,MONDO:0004980,CHEBI:3437,predicate:1,MONDO:0001358,-51.80662536621094
model_10.pt,CHEBI:59173,predicate:3,HP:0012251,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,HMDB:HMDB0083799,predicate:4,MONDO:0010543,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:28689,predicate:0,MONDO:0005618,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:31368,predicate:2,MONDO:0000265,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:16856,predicate:2,HP:0200123,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:9241,predicate:3,MONDO:0001382,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:31526,predicate:3,HP:0000741,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,PUBCHEM.COMPOUND:11682007,predicate:2,HP:0012534,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,PUBCHEM.COMPOUND:157010069,predicate:0,HP:0004308,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:2453,predicate:0,HP:0001410,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:7963,predicate:0,MONDO:0006032,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:S7V92P67HO,predicate:2,MONDO:0015760,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:2639,predicate:2,MONDO:0024879,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:7936,predicate:3,MONDO:0005009,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:4026,predicate:2,MONDO:0043287,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,DRUGBANK:DB15753,predicate:2,MONDO:0008538,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:28689,predicate:2,MONDO:0006513,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,DRUGBANK:DB14999,predicate:2,MONDO:0100116,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:94511,predicate:1,HP:0032155,CHEBI:3437,predicate:1,MONDO:0001358,-31.04157257080078
model_10.pt,CHEBI:5441,predicate:2,MONDO:0005150,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:175901,predicate:10,MONDO:0012817,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:32171,predicate:2,MONDO:0018097,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:50692,predicate:2,MONDO:0004970,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:31456,predicate:1,MONDO:0005149,CHEBI:3437,predicate:1,MONDO:0001358,-2.471933364868164
model_10.pt,CHEBI:8802,predicate:2,MONDO:0858950,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:4735,predicate:2,MONDO:0044903,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:17241,predicate:2,MONDO:0002898,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,PUBCHEM.COMPOUND:588214,predicate:2,UMLS:C0262593,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:28901,predicate:2,MONDO:0005575,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:37117,predicate:3,UMLS:C4324724,CHEBI:3437,predicate:1,MONDO:0001358,0.0
